CMDLINE python demo_DEQ.py
MEM 1283.601562 1727969855.6512
MEM 1283.601562 1727969855.7515
MEM 1283.601562 1727969855.8518
MEM 1283.601562 1727969855.9521
MEM 1283.644531 1727969856.0525
MEM 1283.644531 1727969856.1528
MEM 1283.644531 1727969856.2531
MEM 1283.644531 1727969856.3534
MEM 1283.644531 1727969856.4537
MEM 1283.644531 1727969856.5540
MEM 1283.644531 1727969856.6542
MEM 1283.644531 1727969856.7546
MEM 1283.644531 1727969856.8548
MEM 1283.644531 1727969856.9551
MEM 1283.644531 1727969857.0554
MEM 1283.644531 1727969857.1557
MEM 1283.644531 1727969857.2560
MEM 1283.644531 1727969857.3563
MEM 1283.644531 1727969857.4566
MEM 1283.644531 1727969857.5569
MEM 1283.644531 1727969857.6572
MEM 1283.644531 1727969857.7575
MEM 1283.644531 1727969857.8578
MEM 1283.644531 1727969857.9582
MEM 1283.644531 1727969858.0585
MEM 1283.644531 1727969858.1588
MEM 1283.644531 1727969858.2592
MEM 1283.644531 1727969858.3595
MEM 1283.644531 1727969858.4598
MEM 1283.644531 1727969858.5601
MEM 1283.644531 1727969858.6604
MEM 1283.644531 1727969858.7607
MEM 1283.644531 1727969858.8609
MEM 1283.644531 1727969858.9612
MEM 1283.644531 1727969859.0614
MEM 1283.644531 1727969859.1617
MEM 1283.644531 1727969859.2620
MEM 1283.644531 1727969859.3623
MEM 1283.644531 1727969859.4626
MEM 1283.644531 1727969859.5629
MEM 1283.644531 1727969859.6632
MEM 1283.644531 1727969859.7635
MEM 1283.644531 1727969859.8638
MEM 1283.644531 1727969859.9641
MEM 1283.644531 1727969860.0643
MEM 1283.644531 1727969860.1646
MEM 1283.644531 1727969860.2649
MEM 1283.644531 1727969860.3652
MEM 1283.644531 1727969860.4655
MEM 1283.644531 1727969860.5657
MEM 1283.644531 1727969860.6660
MEM 1283.644531 1727969860.7663
MEM 1283.644531 1727969860.8667
MEM 1283.644531 1727969860.9670
MEM 1283.644531 1727969861.0673
MEM 1283.644531 1727969861.1676
MEM 1283.644531 1727969861.2680
MEM 1283.644531 1727969861.3683
MEM 1283.644531 1727969861.4686
MEM 1283.644531 1727969861.5689
MEM 1283.644531 1727969861.6693
MEM 1283.644531 1727969861.7696
MEM 1283.644531 1727969861.8699
MEM 1283.644531 1727969861.9703
MEM 1283.644531 1727969862.0707
MEM 1283.644531 1727969862.1710
MEM 1283.644531 1727969862.2713
MEM 1283.644531 1727969862.3716
MEM 1283.644531 1727969862.4719
MEM 1283.644531 1727969862.5722
MEM 1283.644531 1727969862.6725
MEM 1283.664062 1727969862.7728
MEM 1283.664062 1727969862.8732
MEM 1283.664062 1727969862.9734
MEM 1283.664062 1727969863.0738
MEM 1283.664062 1727969863.1741
MEM 1283.664062 1727969863.2744
MEM 1283.664062 1727969863.3747
MEM 1283.664062 1727969863.4750
MEM 1283.664062 1727969863.5753
MEM 1283.664062 1727969863.6756
MEM 1283.664062 1727969863.7759
MEM 1283.664062 1727969863.8763
MEM 1283.664062 1727969863.9766
MEM 1283.664062 1727969864.0769
MEM 1283.664062 1727969864.1771
MEM 1283.664062 1727969864.2775
MEM 1283.664062 1727969864.3778
MEM 1283.664062 1727969864.4781
MEM 1283.664062 1727969864.5784
MEM 1283.664062 1727969864.6786
MEM 1283.664062 1727969864.7790
MEM 1283.664062 1727969864.8793
MEM 1283.664062 1727969864.9796
MEM 1283.664062 1727969865.0800
MEM 1283.664062 1727969865.1803
MEM 1283.664062 1727969865.2807
MEM 1283.664062 1727969865.3810
MEM 1283.664062 1727969865.4813
MEM 1283.664062 1727969865.5816
MEM 1283.664062 1727969865.6819
MEM 1283.664062 1727969865.7822
MEM 1283.664062 1727969865.8825
MEM 1283.664062 1727969865.9828
MEM 1283.664062 1727969866.0831
MEM 1283.664062 1727969866.1834
MEM 1283.664062 1727969866.2837
MEM 1283.664062 1727969866.3840
MEM 1283.664062 1727969866.4843
MEM 1283.664062 1727969866.5846
MEM 1283.664062 1727969866.6849
MEM 1283.664062 1727969866.7852
MEM 1283.664062 1727969866.8855
MEM 1283.664062 1727969866.9858
MEM 1283.664062 1727969867.0861
MEM 1283.664062 1727969867.1865
MEM 1283.664062 1727969867.2868
MEM 1283.664062 1727969867.3871
MEM 1283.664062 1727969867.4874
MEM 1283.664062 1727969867.5877
MEM 1283.664062 1727969867.6880
MEM 1283.664062 1727969867.7883
MEM 1283.664062 1727969867.8886
MEM 1283.664062 1727969867.9889
MEM 1283.664062 1727969868.0892
MEM 1283.664062 1727969868.1895
MEM 1283.664062 1727969868.2898
MEM 1283.664062 1727969868.3902
MEM 1283.664062 1727969868.4905
MEM 1283.664062 1727969868.5908
MEM 1283.664062 1727969868.6912
MEM 1283.664062 1727969868.7915
MEM 1283.664062 1727969868.8919
MEM 1283.664062 1727969868.9923
MEM 1283.664062 1727969869.0927
MEM 1283.664062 1727969869.1930
MEM 1283.664062 1727969869.2934
MEM 1283.664062 1727969869.3937
MEM 1283.664062 1727969869.4941
MEM 1283.664062 1727969869.5945
MEM 1283.664062 1727969869.6948
MEM 1283.664062 1727969869.7951
MEM 1283.664062 1727969869.8955
MEM 1283.664062 1727969869.9958
MEM 1283.664062 1727969870.0962
MEM 1283.664062 1727969870.1965
MEM 1283.664062 1727969870.2968
MEM 1283.664062 1727969870.3972
MEM 1283.664062 1727969870.4975
MEM 1283.664062 1727969870.5978
MEM 1283.664062 1727969870.6982
MEM 1283.664062 1727969870.7985
MEM 1283.664062 1727969870.8988
MEM 1283.664062 1727969870.9992
MEM 1283.664062 1727969871.0995
MEM 1283.664062 1727969871.1998
MEM 1283.664062 1727969871.3000
MEM 1283.664062 1727969871.4003
MEM 1283.664062 1727969871.5007
MEM 1283.664062 1727969871.6009
MEM 1283.664062 1727969871.7012
MEM 1283.664062 1727969871.8015
MEM 1283.664062 1727969871.9018
MEM 1283.664062 1727969872.0022
MEM 1283.664062 1727969872.1025
MEM 1283.664062 1727969872.2028
MEM 1283.664062 1727969872.3032
MEM 1283.664062 1727969872.4036
MEM 1283.664062 1727969872.5039
MEM 1283.664062 1727969872.6042
MEM 1283.664062 1727969872.7046
MEM 1283.664062 1727969872.8049
MEM 1283.664062 1727969872.9053
MEM 1283.664062 1727969873.0056
MEM 1283.664062 1727969873.1059
MEM 1283.664062 1727969873.2063
MEM 1283.664062 1727969873.3066
MEM 1283.664062 1727969873.4069
MEM 1283.664062 1727969873.5072
MEM 1283.664062 1727969873.6076
MEM 1283.664062 1727969873.7079
MEM 1283.664062 1727969873.8083
MEM 1283.664062 1727969873.9086
MEM 1283.664062 1727969874.0089
MEM 1283.664062 1727969874.1093
MEM 1283.664062 1727969874.2096
MEM 1283.664062 1727969874.3099
MEM 1283.664062 1727969874.4102
MEM 1283.664062 1727969874.5105
MEM 1283.664062 1727969874.6109
MEM 1283.664062 1727969874.7112
MEM 1283.664062 1727969874.8115
MEM 1283.664062 1727969874.9118
MEM 1283.664062 1727969875.0122
MEM 1283.664062 1727969875.1125
MEM 1283.664062 1727969875.2128
MEM 1283.664062 1727969875.3131
MEM 1283.664062 1727969875.4134
MEM 1283.664062 1727969875.5137
MEM 1283.664062 1727969875.6140
MEM 1283.664062 1727969875.7143
MEM 1283.664062 1727969875.8146
MEM 1283.664062 1727969875.9150
MEM 1283.664062 1727969876.0153
MEM 1283.664062 1727969876.1157
MEM 1283.664062 1727969876.2160
MEM 1283.664062 1727969876.3163
MEM 1283.664062 1727969876.4167
MEM 1283.664062 1727969876.5171
MEM 1283.664062 1727969876.6175
MEM 1283.664062 1727969876.7178
MEM 1283.664062 1727969876.8182
MEM 1283.664062 1727969876.9185
MEM 1283.664062 1727969877.0188
MEM 1283.664062 1727969877.1192
MEM 1283.664062 1727969877.2195
MEM 1283.664062 1727969877.3198
MEM 1283.664062 1727969877.4202
MEM 1283.664062 1727969877.5205
MEM 1283.664062 1727969877.6209
MEM 1283.664062 1727969877.7212
MEM 1283.664062 1727969877.8215
MEM 1283.664062 1727969877.9219
MEM 1283.664062 1727969878.0222
MEM 1283.664062 1727969878.1226
MEM 1283.664062 1727969878.2229
MEM 1283.664062 1727969878.3232
MEM 1283.664062 1727969878.4235
MEM 1283.664062 1727969878.5239
MEM 1283.664062 1727969878.6242
MEM 1283.664062 1727969878.7246
MEM 1283.664062 1727969878.8249
MEM 1283.664062 1727969878.9253
MEM 1283.664062 1727969879.0256
MEM 1283.664062 1727969879.1259
MEM 1283.664062 1727969879.2262
MEM 1283.664062 1727969879.3265
MEM 1283.664062 1727969879.4268
MEM 1283.664062 1727969879.5271
MEM 1283.664062 1727969879.6273
MEM 1283.664062 1727969879.7276
MEM 1283.664062 1727969879.8278
MEM 1283.664062 1727969879.9282
MEM 1283.664062 1727969880.0285
MEM 1283.664062 1727969880.1287
MEM 1283.664062 1727969880.2290
MEM 1283.664062 1727969880.3292
